Name, Version, License
Pillow, 9.4.0, Historical Permission Notice and Disclaimer (HPND)
PyYAML, 6.0, MIT License
Pygments, 2.14.0, BSD License
appnope, 0.1.3, BSD License
asttokens, 2.2.1, Apache 2.0
backcall, 0.2.0, BSD License
brevitas, 0.8.0, UNKNOWN
coloredlogs, 15.0.1, MIT License
concrete-compiler, 0.23.4, BSD-3
concrete-numpy, 0.10.0, BSD License
cycler, 0.11.0, BSD License
decorator, 5.1.1, BSD License
dependencies, 2.0.1, BSD License
dill, 0.3.6, BSD License
executing, 1.2.0, MIT License
flatbuffers, 2.0.7, Apache Software License
fonttools, 4.38.0, MIT License
humanfriendly, 10.0, MIT License
hummingbird-ml, 0.4.4, MIT License
ipython, 8.10.0, BSD License
jedi, 0.18.2, MIT License
joblib, 1.2.0, BSD License
kiwisolver, 1.4.4, BSD License
matplotlib, 3.5.3, Python Software Foundation License
matplotlib-inline, 0.1.6, BSD 3-Clause
mpmath, 1.2.1, BSD License
networkx, 2.6.3, BSD License
numpy, 1.23.5, BSD License
onnx, 1.13.0, Apache License v2.0
onnxconverter-common, 1.13.0, MIT License
onnxmltools, 1.11.1, Apache Software License
onnxoptimizer, 0.2.7, Apache License v2.0
onnxruntime, 1.13.1, MIT License
packaging, 23.0, Apache Software License; BSD License
parso, 0.8.3, MIT License
pexpect, 4.8.0, ISC License (ISCL)
pickleshare, 0.7.5, MIT License
prompt-toolkit, 3.0.37, BSD License
protobuf, 3.20.3, BSD-3-Clause
psutil, 5.9.4, BSD License
ptyprocess, 0.7.0, ISC License (ISCL)
pure-eval, 0.2.2, MIT License
pyparsing, 3.0.9, MIT License
python-dateutil, 2.8.2, Apache Software License; BSD License
scikit-learn, 1.1.3, BSD License
scipy, 1.10.1, BSD License
setuptools-scm, 6.4.2, MIT License
six, 1.16.0, MIT License
skl2onnx, 1.12, Apache Software License
skorch, 0.11.0, new BSD 3-Clause
stack-data, 0.6.2, MIT License
sympy, 1.10.1, BSD License
tabulate, 0.8.10, MIT License
threadpoolctl, 3.1.0, BSD License
tomli, 2.0.1, MIT License
torch, 1.13.1, BSD License
tqdm, 4.64.1, MIT License; Mozilla Public License 2.0 (MPL 2.0)
traitlets, 5.9.0, BSD License
typing_extensions, 4.4.0, Python Software Foundation License
xgboost, 1.6.2, Apache Software License
