Compile_type,Number_of_layers,Bits,threshold,max_bits,Mean_FP32_accuracy,Mean_disable_accuracy,Mean_simulate_accuracy,FHE_timing
qat,50,4,7,14,0.8902243589743589,0.9387019230769231,0.9387019230769231,14.659756584962208
qat,50,4,6,14,0.8818108974358975,0.8343349358974359,0.8286258012820513,4.560972897211711
qat,50,4,5,15,0.8927283653846154,0.7942708333333334,0.7886618589743589,3.1397119124730426
qat,50,4,4,14,0.8903245192307693,0.2640224358974359,0.2626201923076923,2.7063767353693646
qat,50,4,Exactness.APPROXIMATE,-1,-1,-1,-1,-1
qat,50,4,Exactness.EXACT,-1,-1,-1,-1,-1
ptq,50,4,7,13,0.9694511217948718,0.4053485576923077,0.40404647435897434,9.970562446117402
ptq,50,4,6,13,0.9673477564102564,0.5323517628205128,0.5317508012820513,4.728517806529998
ptq,50,4,5,13,0.9659455128205128,0.20873397435897437,0.20873397435897437,3.166001049677531
ptq,50,4,4,13,0.9654447115384616,0.20032051282051283,0.19951923076923078,2.5868122418721518
ptq,50,4,Exactness.APPROXIMATE,12,0.9645432692307693,0.09815705128205128,0.09815705128205128,2.6217990438143413
ptq,50,4,Exactness.EXACT,-1,-1,-1,-1,-1
qat,50,4,7,14,0.8818108974358975,0.9388020833333334,0.9388020833333334,14.862058889865875
qat,50,4,6,14,0.8908253205128205,0.9111578525641025,0.9111578525641025,4.996004994710287
qat,50,4,5,15,0.8833133012820513,0.8971354166666666,0.8971354166666666,3.0782105763753256
qat,50,4,4,14,0.8880208333333334,0.29767628205128205,0.29767628205128205,2.6694800734519957
qat,50,4,Exactness.APPROXIMATE,-1,-1,-1,-1,-1
qat,50,4,Exactness.EXACT,-1,-1,-1,-1,-1
ptq,50,3,7,11,0.9684495192307693,0.08944310897435898,0.08914262820512821,7.475684559345245
ptq,50,3,6,11,0.9659455128205128,0.14753605769230768,0.14703525641025642,3.316960330804189
ptq,50,3,5,11,0.9667467948717948,0.10176282051282051,0.10166266025641026,1.82840656042099
ptq,50,3,4,11,0.9654447115384616,0.1282051282051282,0.12830528846153846,1.4176392356554668
ptq,50,3,Exactness.APPROXIMATE,10,0.9685496794871795,0.09815705128205128,0.09815705128205128,1.5415482838948569
ptq,50,3,Exactness.EXACT,-1,-1,-1,-1,-1
qat,50,4,7,14,0.8887219551282052,0.9387019230769231,0.9387019230769231,14.696718458334605
qat,50,4,6,14,0.8874198717948718,0.8811097756410257,0.8751001602564102,4.802688153584798
qat,50,4,5,14,0.8928285256410257,0.8090945512820513,0.8090945512820513,3.194890900452932
qat,50,4,4,14,0.8902243589743589,0.27333733974358976,0.25951522435897434,2.738588531812032
qat,50,4,Exactness.APPROXIMATE,-1,-1,-1,-1,-1
qat,50,4,Exactness.EXACT,-1,-1,-1,-1,-1
ptq,50,5,7,15,0.969551282051282,0.9380008012820513,0.9354967948717948,8.782243152459463
ptq,50,5,6,15,0.9636418269230769,0.9043469551282052,0.9039463141025641,8.528247785568237
ptq,50,5,5,15,0.967948717948718,0.3075921474358974,0.3075921474358974,4.473695894082387
ptq,50,5,4,15,0.9688501602564102,0.17908653846153846,0.1711738782051282,3.9235528707504272
ptq,50,5,Exactness.APPROXIMATE,15,0.9677483974358975,0.09825721153846154,0.09825721153846154,3.812394960721334
ptq,50,5,Exactness.EXACT,13,0.9669471153846154,0.08914262820512821,0.08914262820512821,4.108425911267599
