        Layer (type)               Output Shape         Param #
            Conv2d-1         [-1, 64, 128, 128]           6,976
            Conv2d-2         [-1, 32, 128, 128]          18,464
         LeakyReLU-3         [-1, 32, 128, 128]               0
            Conv2d-4         [-1, 32, 128, 128]          27,680
         LeakyReLU-5         [-1, 32, 128, 128]               0
            Conv2d-6         [-1, 32, 128, 128]          36,896
         LeakyReLU-7         [-1, 32, 128, 128]               0
            Conv2d-8         [-1, 32, 128, 128]          46,112
         LeakyReLU-9         [-1, 32, 128, 128]               0
           Conv2d-10         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-11         [-1, 64, 128, 128]               0
           Conv2d-12         [-1, 32, 128, 128]          18,464
        LeakyReLU-13         [-1, 32, 128, 128]               0
           Conv2d-14         [-1, 32, 128, 128]          27,680
        LeakyReLU-15         [-1, 32, 128, 128]               0
           Conv2d-16         [-1, 32, 128, 128]          36,896
        LeakyReLU-17         [-1, 32, 128, 128]               0
           Conv2d-18         [-1, 32, 128, 128]          46,112
        LeakyReLU-19         [-1, 32, 128, 128]               0
           Conv2d-20         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-21         [-1, 64, 128, 128]               0
           Conv2d-22         [-1, 32, 128, 128]          18,464
        LeakyReLU-23         [-1, 32, 128, 128]               0
           Conv2d-24         [-1, 32, 128, 128]          27,680
        LeakyReLU-25         [-1, 32, 128, 128]               0
           Conv2d-26         [-1, 32, 128, 128]          36,896
        LeakyReLU-27         [-1, 32, 128, 128]               0
           Conv2d-28         [-1, 32, 128, 128]          46,112
        LeakyReLU-29         [-1, 32, 128, 128]               0
           Conv2d-30         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-31         [-1, 64, 128, 128]               0
             RRDB-32         [-1, 64, 128, 128]               0
           Conv2d-33         [-1, 32, 128, 128]          18,464
        LeakyReLU-34         [-1, 32, 128, 128]               0
           Conv2d-35         [-1, 32, 128, 128]          27,680
        LeakyReLU-36         [-1, 32, 128, 128]               0
           Conv2d-37         [-1, 32, 128, 128]          36,896
        LeakyReLU-38         [-1, 32, 128, 128]               0
           Conv2d-39         [-1, 32, 128, 128]          46,112
        LeakyReLU-40         [-1, 32, 128, 128]               0
           Conv2d-41         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-42         [-1, 64, 128, 128]               0
           Conv2d-43         [-1, 32, 128, 128]          18,464
        LeakyReLU-44         [-1, 32, 128, 128]               0
           Conv2d-45         [-1, 32, 128, 128]          27,680
        LeakyReLU-46         [-1, 32, 128, 128]               0
           Conv2d-47         [-1, 32, 128, 128]          36,896
        LeakyReLU-48         [-1, 32, 128, 128]               0
           Conv2d-49         [-1, 32, 128, 128]          46,112
        LeakyReLU-50         [-1, 32, 128, 128]               0
           Conv2d-51         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-52         [-1, 64, 128, 128]               0
           Conv2d-53         [-1, 32, 128, 128]          18,464
        LeakyReLU-54         [-1, 32, 128, 128]               0
           Conv2d-55         [-1, 32, 128, 128]          27,680
        LeakyReLU-56         [-1, 32, 128, 128]               0
           Conv2d-57         [-1, 32, 128, 128]          36,896
