stage_type,Date,start_time,end_time,duration_(s),average_spo2,spo2_samples,TWT_(s),TIB_(s),TST_(s),SE_%,Total_REM_(s),Total_NREM_N3_(s),Total_NREM_N1&N2_(s),Total_Wake_(s),TWT_%,REM_%,NREM_N3_%,NREM_N1&N2_%,Wake_%,count_stages,count_stage_1,count_stage_2,count_stage_3,count_stage_4,count_stage_5,max_spo2
1,2024-09-21,01:08:00,01:10:00,120.0,95.0,1,4170.0,4170.0,,,,,,330.0,0.0,0.0,0.0,0.0,0.0,4,4.0,3.0,0.0,0.0,0.0,95.0
1,2024-09-21,01:13:00,01:19:30,390.0,95.0,1,4170.0,4170.0,,,,,,330.0,0.0,0.0,0.0,0.0,0.0,4,4.0,3.0,0.0,0.0,0.0,95.0
1,2024-09-21,01:21:00,02:15:30,3270.0,95.0,1,4170.0,4170.0,,,,,,330.0,0.0,0.0,0.0,0.0,0.0,4,4.0,3.0,0.0,0.0,0.0,95.0
1,2024-09-21,02:16:00,02:17:00,60.0,95.0,1,4170.0,4170.0,,,,,,330.0,0.0,0.0,0.0,0.0,0.0,4,4.0,3.0,0.0,0.0,0.0,95.0
1,2024-09-29,07:40:00,08:39:30,3570.0,95.5,4,4170.0,30870.0,26700.0,86.49173955296405,8520.0,2820.0,15360.0,90.0,0.15617977528089888,0.31910112359550563,0.10561797752808989,0.5752808988764045,0.0033707865168539327,2,2.0,2.0,10.0,4.0,5.0,96.0
1,2024-09-29,08:41:00,08:49:30,510.0,95.0,2,4170.0,30870.0,26700.0,86.49173955296405,8520.0,2820.0,15360.0,90.0,0.15617977528089888,0.31910112359550563,0.10561797752808989,0.5752808988764045,0.0033707865168539327,2,2.0,2.0,10.0,4.0,5.0,96.0
2,2024-09-20,05:20:00,05:20:30,30.0,95.0,1,2340.0,18240.0,15900.0,87.17105263157895,4950.0,270.0,10680.0,2340.0,0.1471698113207547,0.3113207547169811,0.016981132075471698,0.6716981132075471,0.1471698113207547,3,0.0,3.0,7.0,1.0,4.0,95.0
2,2024-09-20,07:11:00,07:26:00,900.0,95.0,1,2340.0,18240.0,15900.0,87.17105263157895,4950.0,270.0,10680.0,2340.0,0.1471698113207547,0.3113207547169811,0.016981132075471698,0.6716981132075471,0.1471698113207547,3,0.0,3.0,7.0,1.0,4.0,95.0
2,2024-09-20,07:33:00,07:56:30,1410.0,95.0,1,2340.0,18240.0,15900.0,87.17105263157895,4950.0,270.0,10680.0,2340.0,0.1471698113207547,0.3113207547169811,0.016981132075471698,0.6716981132075471,0.1471698113207547,3,0.0,3.0,7.0,1.0,4.0,95.0
2,2024-09-21,01:10:00,01:13:00,180.0,95.0,1,4170.0,4170.0,,,,,,330.0,0.0,0.0,0.0,0.0,0.0,3,4.0,3.0,0.0,0.0,0.0,95.0
2,2024-09-21,01:19:00,01:21:00,120.0,95.0,1,4170.0,4170.0,,,,,,330.0,0.0,0.0,0.0,0.0,0.0,3,4.0,3.0,0.0,0.0,0.0,95.0
2,2024-09-21,02:16:00,02:16:30,30.0,95.0,1,4170.0,4170.0,,,,,,330.0,0.0,0.0,0.0,0.0,0.0,3,4.0,3.0,0.0,0.0,0.0,95.0
2,2024-09-29,07:02:00,07:02:30,30.0,95.0,2,4170.0,30870.0,26700.0,86.49173955296405,8520.0,2820.0,15360.0,90.0,0.15617977528089888,0.31910112359550563,0.10561797752808989,0.5752808988764045,0.0033707865168539327,2,2.0,2.0,10.0,4.0,5.0,96.0
