cycle_type,Date,start_time_sleep,end_time,duration_(s),start_time_oxygen,spo2_%
3.0,2024-10-01,2024-10-01 07:03:00,07:05:30,150.0,2024-10-01 06:39:00,100.0
5.0,2024-10-01,2024-10-01 06:59:00,07:03:00,240.0,2024-10-01 06:39:00,100.0
3.0,2024-10-01,2024-10-01 06:57:00,06:59:00,120.0,2024-10-01 06:39:00,100.0
5.0,2024-10-01,2024-10-01 06:12:00,06:57:00,2700.0,2024-10-01 06:39:00,100.0
5.0,2024-10-01,2024-10-01 06:12:00,06:57:00,2700.0,2024-10-01 06:08:00,96.0
3.0,2024-10-01,2024-10-01 05:04:00,06:12:00,4080.0,2024-10-01 05:08:00,96.0
3.0,2024-10-01,2024-10-01 05:04:00,06:12:00,4080.0,2024-10-01 04:38:00,100.0
5.0,2024-10-01,2024-10-01 04:44:00,05:03:30,1170.0,2024-10-01 05:08:00,96.0
5.0,2024-10-01,2024-10-01 04:44:00,05:03:30,1170.0,2024-10-01 04:38:00,100.0
3.0,2024-10-01,2024-10-01 04:40:00,04:44:30,270.0,2024-10-01 05:08:00,96.0
3.0,2024-10-01,2024-10-01 04:40:00,04:44:30,270.0,2024-10-01 04:38:00,100.0
5.0,2024-10-01,2024-10-01 04:32:00,04:39:30,450.0,2024-10-01 04:38:00,100.0
5.0,2024-10-01,2024-10-01 04:32:00,04:39:30,450.0,2024-10-01 04:07:00,97.0
3.0,2024-10-01,2024-10-01 04:22:00,04:32:00,600.0,2024-10-01 04:38:00,100.0
3.0,2024-10-01,2024-10-01 04:22:00,04:32:00,600.0,2024-10-01 04:07:00,97.0
5.0,2024-10-01,2024-10-01 04:21:00,04:22:00,60.0,2024-10-01 04:38:00,100.0
5.0,2024-10-01,2024-10-01 04:21:00,04:22:00,60.0,2024-10-01 04:07:00,97.0
3.0,2024-10-01,2024-10-01 04:15:00,04:21:00,360.0,2024-10-01 04:38:00,100.0
3.0,2024-10-01,2024-10-01 04:15:00,04:21:00,360.0,2024-10-01 04:07:00,97.0
5.0,2024-10-01,2024-10-01 04:15:00,04:15:30,30.0,2024-10-01 04:38:00,100.0
5.0,2024-10-01,2024-10-01 04:15:00,04:15:30,30.0,2024-10-01 04:07:00,97.0
3.0,2024-10-01,2024-10-01 04:14:00,04:15:00,60.0,2024-10-01 04:38:00,100.0
3.0,2024-10-01,2024-10-01 04:14:00,04:15:00,60.0,2024-10-01 04:07:00,97.0
5.0,2024-10-01,2024-10-01 04:13:00,04:14:00,60.0,2024-10-01 04:38:00,100.0
