SpO2: Peripheral Capillary Oxygen Saturation, commonly measured by pulse oximetry.
 
oxygen:	 01/10/2024, 15:39 	 0.99
oxygen:	 01/10/2024, 15:09 	 1.0
oxygen:	 01/10/2024, 14:37 	 0.98
oxygen:	 01/10/2024, 13:37 	 1.0
oxygen:	 01/10/2024, 10:35 	 0.98
oxygen:	 01/10/2024, 10:00 	 0.98
oxygen:	 01/10/2024, 8:59 	 1.0
oxygen:	 01/10/2024, 6:39 	 1.0
oxygen:	 01/10/2024, 6:08 	 0.96
oxygen:	 01/10/2024, 5:38 	 0.98
oxygen:	 01/10/2024, 5:08 	 0.96
oxygen:	 01/10/2024, 4:38 	 1.0
oxygen:	 01/10/2024, 4:07 	 0.97
oxygen:	 01/10/2024, 3:19 	 0.97
oxygen:	 01/10/2024, 2:49 	 0.98
oxygen:	 01/10/2024, 2:13 	 0.96
oxygen:	 01/10/2024, 1:43 	 0.95
oxygen:	 01/10/2024, 1:13 	 0.99
oxygen:	 01/10/2024, 0:43 	 0.97
oxygen:	 01/10/2024, 0:06 	 0.98
oxygen:	 30/09/2024, 19:50 	 0.98
oxygen:	 30/09/2024, 19:49 	 0.98
oxygen:	 30/09/2024, 18:55 	 0.98
oxygen:	 30/09/2024, 18:17 	 0.98
oxygen:	 30/09/2024, 16:44 	 0.98
oxygen:	 30/09/2024, 16:00 	 0.98
oxygen:	 30/09/2024, 14:58 	 0.97
oxygen:	 30/09/2024, 14:27 	 0.97
oxygen:	 30/09/2024, 13:47 	 0.99
oxygen:	 30/09/2024, 11:47 	 1.0
oxygen:	 30/09/2024, 11:17 	 0.99
oxygen:	 30/09/2024, 10:18 	 0.99
oxygen:	 30/09/2024, 10:17 	 0.99
oxygen:	 30/09/2024, 9:22 	 0.98
oxygen:	 29/09/2024, 20:54 	 0.97
oxygen:	 29/09/2024, 19:44 	 0.99
oxygen:	 29/09/2024, 16:35 	 0.99
oxygen:	 29/09/2024, 15:10 	 0.97
oxygen:	 29/09/2024, 14:12 	 0.98
oxygen:	 29/09/2024, 8:29 	 0.96
oxygen:	 29/09/2024, 7:59 	 0.96
oxygen:	 29/09/2024, 7:29 	 0.97
oxygen:	 29/09/2024, 6:59 	 0.96
oxygen:	 29/09/2024, 6:05 	 0.98
oxygen:	 29/09/2024, 5:35 	 0.96
oxygen:	 29/09/2024, 4:34 	 0.98
oxygen:	 29/09/2024, 3:53 	 0.95
oxygen:	 29/09/2024, 3:23 	 0.95
oxygen:	 29/09/2024, 2:53 	 0.97
oxygen:	 29/09/2024, 2:16 	 0.96
oxygen:	 29/09/2024, 1:40 	 0.93
oxygen:	 29/09/2024, 1:10 	 0.96
oxygen:	 29/09/2024, 0:40 	 0.96
oxygen:	 28/09/2024, 23:29 	 0.95
oxygen:	 28/09/2024, 22:29 	 0.98
oxygen:	 28/09/2024, 21:24 	 0.98
oxygen:	 28/09/2024, 20:41 	 0.99
oxygen:	 28/09/2024, 20:11 	 0.97
oxygen:	 28/09/2024, 19:01 	 0.98
oxygen:	 28/09/2024, 17:59 	 0.96
oxygen:	 28/09/2024, 14:32 	 0.96
oxygen:	 28/09/2024, 14:32 	 0.96
oxygen:	 28/09/2024, 11:51 	 0.99
oxygen:	 27/09/2024, 23:14 	 0.97
oxygen:	 27/09/2024, 22:44 	 0.99
oxygen:	 27/09/2024, 22:14 	 0.97
oxygen:	 27/09/2024, 21:29 	 0.96
oxygen:	 27/09/2024, 18:03 	 0.99
oxygen:	 27/09/2024, 17:02 	 0.99
oxygen:	 27/09/2024, 15:46 	 0.98
oxygen:	 27/09/2024, 14:46 	 1.0
oxygen:	 27/09/2024, 12:45 	 1.0
oxygen:	 27/09/2024, 11:38 	 0.97
oxygen:	 27/09/2024, 10:21 	 0.96
oxygen:	 26/09/2024, 20:24 	 1.0
oxygen:	 26/09/2024, 19:54 	 0.98
oxygen:	 26/09/2024, 18:35 	 0.98
oxygen:	 26/09/2024, 18:03 	 0.99
oxygen:	 26/09/2024, 16:29 	 0.98
oxygen:	 26/09/2024, 13:38 	 0.99
oxygen:	 26/09/2024, 12:33 	 0.98
oxygen:	 26/09/2024, 12:03 	 0.98
oxygen:	 26/09/2024, 11:03 	 0.98
oxygen:	 26/09/2024, 10:07 	 0.97
oxygen:	 25/09/2024, 23:39 	 0.98
oxygen:	 25/09/2024, 22:16 	 0.98
oxygen:	 25/09/2024, 21:45 	 0.97
oxygen:	 25/09/2024, 21:11 	 0.98
oxygen:	 25/09/2024, 20:06 	 0.96
oxygen:	 25/09/2024, 20:05 	 0.97
oxygen:	 25/09/2024, 19:03 	 0.98
oxygen:	 25/09/2024, 18:33 	 0.98
oxygen:	 25/09/2024, 17:32 	 0.97
oxygen:	 25/09/2024, 16:59 	 0.98
oxygen:	 25/09/2024, 16:14 	 0.98
oxygen:	 25/09/2024, 15:11 	 0.98
oxygen:	 25/09/2024, 14:38 	 0.97
oxygen:	 25/09/2024, 13:47 	 0.96
oxygen:	 25/09/2024, 9:59 	 0.98
oxygen:	 24/09/2024, 17:40 	 0.97
