
/*
 Format: print("sleep:\t\(sample.startDate.formatted())\t\(durationInSeconds)\t\(value)")

 Value goes from 1 to 5:
 1	asleepUnspecified 	The user is asleep and no specific stage is specified.
 2	awake 			The user is awake.
 3	asleepCore 		Corresponds to Stages 1 and 2 of AASM scoring model.
 4	asleepDeep 		Corresponds to Stage 3 of AASM scoring model.
 5	asleepREM 		Corresponds to REM stage of AASM scoring model.

 More info: https://developer.apple.com/documentation/healthkit/hkcategoryvaluesleepanalysis
*/


sleep:	01/10/2024, 7:03	150.0	3
sleep:	01/10/2024, 6:59	240.0	5
sleep:	01/10/2024, 6:57	120.0	3
sleep:	01/10/2024, 6:12	2700.0	5
sleep:	01/10/2024, 5:04	4080.0	3
sleep:	01/10/2024, 4:44	1170.0	5
sleep:	01/10/2024, 4:40	270.0	3
sleep:	01/10/2024, 4:32	450.0	5
sleep:	01/10/2024, 4:22	600.0	3
sleep:	01/10/2024, 4:21	60.0	5
sleep:	01/10/2024, 4:15	360.0	3
sleep:	01/10/2024, 4:15	30.0	5
sleep:	01/10/2024, 4:14	60.0	3
sleep:	01/10/2024, 4:13	60.0	5
sleep:	01/10/2024, 4:05	480.0	3
sleep:	01/10/2024, 3:53	720.0	4
sleep:	01/10/2024, 3:31	1290.0	3
sleep:	01/10/2024, 3:29	120.0	4
sleep:	01/10/2024, 2:59	1830.0	3
sleep:	01/10/2024, 2:37	1290.0	5
sleep:	01/10/2024, 2:36	60.0	3
sleep:	01/10/2024, 2:35	60.0	2
sleep:	01/10/2024, 2:30	330.0	5
sleep:	01/10/2024, 2:28	120.0	3
sleep:	01/10/2024, 2:10	1080.0	4
sleep:	01/10/2024, 2:02	450.0	3
sleep:	01/10/2024, 1:57	330.0	4
sleep:	01/10/2024, 1:37	1170.0	3
sleep:	01/10/2024, 1:19	1080.0	5
sleep:	01/10/2024, 1:15	270.0	3
sleep:	01/10/2024, 1:08	420.0	4
sleep:	01/10/2024, 0:42	1530.0	3
sleep:	01/10/2024, 0:41	60.0	2
sleep:	01/10/2024, 0:22	1170.0	3
sleep:	29/09/2024, 8:41	510.0	1
sleep:	29/09/2024, 8:40	60.0	2
sleep:	29/09/2024, 7:40	3570.0	1
sleep:	29/09/2024, 7:07	1320.0	5
sleep:	29/09/2024, 7:02	300.0	3
sleep:	29/09/2024, 7:02	30.0	2
sleep:	29/09/2024, 6:18	2610.0	3
sleep:	29/09/2024, 5:48	1800.0	5
sleep:	29/09/2024, 4:44	3870.0	3
sleep:	29/09/2024, 4:06	2250.0	5
sleep:	29/09/2024, 3:50	990.0	3
sleep:	29/09/2024, 3:39	630.0	4
sleep:	29/09/2024, 3:02	2250.0	3
sleep:	29/09/2024, 2:18	2640.0	5
sleep:	29/09/2024, 2:08	600.0	3
sleep:	29/09/2024, 2:02	360.0	4
sleep:	29/09/2024, 1:32	1800.0	3
sleep:	29/09/2024, 1:18	810.0	4
sleep:	29/09/2024, 1:01	1020.0	3
sleep:	29/09/2024, 0:53	510.0	5
sleep:	29/09/2024, 0:39	840.0	3
sleep:	29/09/2024, 0:22	1020.0	4
sleep:	29/09/2024, 0:04	1080.0	3
sleep:	28/09/2024, 23:55	540.0	2
sleep:	28/09/2024, 23:51	210.0	3
sleep:	25/09/2024, 8:19	3000.0	3
sleep:	25/09/2024, 8:17	90.0	2
sleep:	25/09/2024, 8:15	150.0	3
sleep:	25/09/2024, 7:38	2220.0	5
sleep:	25/09/2024, 6:38	3600.0	3
sleep:	25/09/2024, 6:08	1770.0	5
sleep:	25/09/2024, 6:00	480.0	3
sleep:	25/09/2024, 5:43	1050.0	4
sleep:	25/09/2024, 5:09	2010.0	3
sleep:	25/09/2024, 4:37	1950.0	5
sleep:	25/09/2024, 3:35	3720.0	3
sleep:	25/09/2024, 2:53	2490.0	5
sleep:	25/09/2024, 2:52	90.0	3
sleep:	25/09/2024, 2:34	1080.0	4
sleep:	25/09/2024, 2:11	1350.0	3
sleep:	25/09/2024, 2:05	360.0	5
sleep:	25/09/2024, 2:00	300.0	3
sleep:	25/09/2024, 1:34	1560.0	4
sleep:	25/09/2024, 1:15	1140.0	3
sleep:	21/09/2024, 2:16	60.0	1
sleep:	21/09/2024, 2:16	30.0	2
sleep:	21/09/2024, 1:21	3270.0	1
sleep:	21/09/2024, 1:19	120.0	2
sleep:	21/09/2024, 1:13	390.0	1
sleep:	21/09/2024, 1:10	180.0	2
sleep:	21/09/2024, 1:08	120.0	1
sleep:	20/09/2024, 7:56	150.0	3
sleep:	20/09/2024, 7:33	1410.0	2
sleep:	20/09/2024, 7:26	390.0	3
sleep:	20/09/2024, 7:11	900.0	2
sleep:	20/09/2024, 6:58	780.0	5
sleep:	20/09/2024, 5:56	3720.0	3
sleep:	20/09/2024, 5:24	1950.0	5
sleep:	20/09/2024, 5:21	180.0	3
sleep:	20/09/2024, 5:20	30.0	2
sleep:	20/09/2024, 3:43	5850.0	3
sleep:	20/09/2024, 3:06	2190.0	5
sleep:	20/09/2024, 3:04	150.0	3
sleep:	20/09/2024, 3:03	30.0	5
sleep:	20/09/2024, 2:59	240.0	3
sleep:	20/09/2024, 2:55	270.0	4
