cycle_type,Date,start_time,end_time,duration_(s)
3,2024-10-01,07:03:00,07:05:30,150.0
5,2024-10-01,06:59:00,07:03:00,240.0
3,2024-10-01,06:57:00,06:59:00,120.0
5,2024-10-01,06:12:00,06:57:00,2700.0
3,2024-10-01,05:04:00,06:12:00,4080.0
5,2024-10-01,04:44:00,05:03:30,1170.0
3,2024-10-01,04:40:00,04:44:30,270.0
5,2024-10-01,04:32:00,04:39:30,450.0
3,2024-10-01,04:22:00,04:32:00,600.0
5,2024-10-01,04:21:00,04:22:00,60.0
3,2024-10-01,04:15:00,04:21:00,360.0
5,2024-10-01,04:15:00,04:15:30,30.0
3,2024-10-01,04:14:00,04:15:00,60.0
5,2024-10-01,04:13:00,04:14:00,60.0
3,2024-10-01,04:05:00,04:13:00,480.0
4,2024-10-01,03:53:00,04:05:00,720.0
3,2024-10-01,03:31:00,03:52:30,1290.0
4,2024-10-01,03:29:00,03:31:00,120.0
3,2024-10-01,02:59:00,03:29:30,1830.0
5,2024-10-01,02:37:00,02:58:30,1290.0
3,2024-10-01,02:36:00,02:37:00,60.0
2,2024-10-01,02:35:00,02:36:00,60.0
5,2024-10-01,02:30:00,02:35:30,330.0
3,2024-10-01,02:28:00,02:30:00,120.0
4,2024-10-01,02:10:00,02:28:00,1080.0
3,2024-10-01,02:02:00,02:09:30,450.0
4,2024-10-01,01:57:00,02:02:30,330.0
3,2024-10-01,01:37:00,01:56:30,1170.0
5,2024-10-01,01:19:00,01:37:00,1080.0
3,2024-10-01,01:15:00,01:19:30,270.0
4,2024-10-01,01:08:00,01:15:00,420.0
3,2024-10-01,00:42:00,01:07:30,1530.0
2,2024-10-01,00:41:00,00:42:00,60.0
3,2024-10-01,00:22:00,00:41:30,1170.0
1,2024-09-29,08:41:00,08:49:30,510.0
2,2024-09-29,08:40:00,08:41:00,60.0
1,2024-09-29,07:40:00,08:39:30,3570.0
5,2024-09-29,07:07:00,07:29:00,1320.0
3,2024-09-29,07:02:00,07:07:00,300.0
2,2024-09-29,07:02:00,07:02:30,30.0
3,2024-09-29,06:18:00,07:01:30,2610.0
5,2024-09-29,05:48:00,06:18:00,1800.0
3,2024-09-29,04:44:00,05:48:30,3870.0
5,2024-09-29,04:06:00,04:43:30,2250.0
3,2024-09-29,03:50:00,04:06:30,990.0
4,2024-09-29,03:39:00,03:49:30,630.0
3,2024-09-29,03:02:00,03:39:30,2250.0
5,2024-09-29,02:18:00,03:02:00,2640.0
3,2024-09-29,02:08:00,02:18:00,600.0
4,2024-09-29,02:02:00,02:08:00,360.0
3,2024-09-29,01:32:00,02:02:00,1800.0
4,2024-09-29,01:18:00,01:31:30,810.0
3,2024-09-29,01:01:00,01:18:00,1020.0
5,2024-09-29,00:53:00,01:01:30,510.0
3,2024-09-29,00:39:00,00:53:00,840.0
4,2024-09-29,00:22:00,00:39:00,1020.0
3,2024-09-29,00:04:00,00:22:00,1080.0
2,2024-09-28,23:55:00,00:04:00,540.0
3,2024-09-28,23:51:00,23:54:30,210.0
3,2024-09-25,08:19:00,09:09:00,3000.0
2,2024-09-25,08:17:00,08:18:30,90.0
3,2024-09-25,08:15:00,08:17:30,150.0
5,2024-09-25,07:38:00,08:15:00,2220.0
3,2024-09-25,06:38:00,07:38:00,3600.0
5,2024-09-25,06:08:00,06:37:30,1770.0
3,2024-09-25,06:00:00,06:08:00,480.0
4,2024-09-25,05:43:00,06:00:30,1050.0
3,2024-09-25,05:09:00,05:42:30,2010.0
5,2024-09-25,04:37:00,05:09:30,1950.0
3,2024-09-25,03:35:00,04:37:00,3720.0
5,2024-09-25,02:53:00,03:34:30,2490.0
3,2024-09-25,02:52:00,02:53:30,90.0
4,2024-09-25,02:34:00,02:52:00,1080.0
3,2024-09-25,02:11:00,02:33:30,1350.0
5,2024-09-25,02:05:00,02:11:00,360.0
3,2024-09-25,02:00:00,02:05:00,300.0
4,2024-09-25,01:34:00,02:00:00,1560.0
3,2024-09-25,01:15:00,01:34:00,1140.0
1,2024-09-21,02:16:00,02:17:00,60.0
2,2024-09-21,02:16:00,02:16:30,30.0
1,2024-09-21,01:21:00,02:15:30,3270.0
2,2024-09-21,01:19:00,01:21:00,120.0
1,2024-09-21,01:13:00,01:19:30,390.0
2,2024-09-21,01:10:00,01:13:00,180.0
1,2024-09-21,01:08:00,01:10:00,120.0
3,2024-09-20,07:56:00,07:58:30,150.0
2,2024-09-20,07:33:00,07:56:30,1410.0
3,2024-09-20,07:26:00,07:32:30,390.0
2,2024-09-20,07:11:00,07:26:00,900.0
5,2024-09-20,06:58:00,07:11:00,780.0
3,2024-09-20,05:56:00,06:58:00,3720.0
5,2024-09-20,05:24:00,05:56:30,1950.0
3,2024-09-20,05:21:00,05:24:00,180.0
2,2024-09-20,05:20:00,05:20:30,30.0
3,2024-09-20,03:43:00,05:20:30,5850.0
5,2024-09-20,03:06:00,03:42:30,2190.0
3,2024-09-20,03:04:00,03:06:30,150.0
5,2024-09-20,03:03:00,03:03:30,30.0
3,2024-09-20,02:59:00,03:03:00,240.0
4,2024-09-20,02:55:00,02:59:30,270.0
